Id,V1,V2,Hashtag
497,-51.14051109,-3.72878347,red
498,-51.19571493,-3.759361319,pink
499,80.6207025,-18.95007758,DallasCowboys
500,-43.6082237,-54.76923569,city
501,58.66514355,-32.05642554,tattoo
502,-79.20569923,3.756026924,bbq
503,12.5361263,-40.2198796,soccer
504,38.30897622,-41.20434267,nba
505,45.1310039,48.08113558,shopping
506,-45.48091867,38.91420282,sisters
507,-7.811983302,-6.058446253,LoveIsLove
508,5.660944404,-13.89043327,TeenChoice
509,-9.749905835,-63.27526741,s
510,-6.176219403,17.06709541,books
511,6.188046064,12.974285,pokemon
512,-65.28855947,59.76564711,hiring
513,68.31592031,12.82642619,RAW
514,-12.48186711,-66.46039211,CNN
515,-5.648118719,-50.79321936,SOTU
516,18.62274844,49.35607839,comedy
517,44.35198315,51.49058281,ootd
518,-13.61250333,29.78899934,humpday
519,43.57383109,-37.93006671,Game7
520,-4.674354529,61.87067616,MotivationMonday
521,84.15517423,24.79792046,Olympics2016
522,9.484208111,75.8451044,training
523,17.28016708,16.16524788,GoT
524,-48.67546642,-66.86228517,manhattan
525,4.459880288,68.95744763,lifestyle
526,-76.07498386,14.78346468,dessert
527,58.91541936,-68.14106083,Dodgers
528,-41.53156463,-19.31808685,cold
529,-5.931623069,-47.37408691,climatechange
530,14.13896629,21.02298977,Deadpool
531,-27.43056709,72.42377536,innovation
532,10.37380103,-46.50257557,PuertoRico
533,-46.30332093,26.7071863,MerryChristmas
534,-40.90184015,5.251009011,HappyFriday
535,-2.792363739,1.122281615,contest
536,6.800852147,72.78060003,progress
537,88.7573962,-17.60090352,SuperBowl50
538,-37.96741152,-64.15023997,NY
539,-49.01838383,34.950898,familia
540,90.64547011,-19.88176954,NFLPlayoffs
541,-25.60405434,42.02435054,loveislove
542,-45.17896397,5.700385758,CincoDeMayo
543,-62.73250408,57.77187086,Hamilton
544,-57.73004233,-11.70792049,mountains
545,36.56935461,14.82915703,DavidBowie
546,-8.893122162,58.91820211,quote
547,44.01047562,-45.67694844,Cavs
548,54.32323662,-6.505884404,Happy
549,36.71736782,4.576850835,Legend
550,56.07357061,-14.6922973,Art
551,-20.31621143,3.064209267,HappyEaster
552,13.85912387,8.182132565,GreaseLive
553,-21.826462,-61.26829303,FakeNews
554,-14.48765227,38.11704231,SundayMorning
555,-2.057849954,-46.99760182,BLM
556,-47.79388587,-18.38471534,view
